Journal Data Filtered By:  Selected Categories: PHILOSOPHY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Default,,,,,,,,,
,,,,,,,,,
Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
SYNTHESE,SYNTHESE,0039-7857,1573-0964,PHILOSOPHY - AHCI,"8,633",N/A,N/A,2.26,30.99%
PHILOSOPHICAL STUDIES,PHILOS STUD,0031-8116,1573-0883,PHILOSOPHY - AHCI,"6,771",N/A,N/A,2.55,27.09%
JOURNAL OF PHILOSOPHY,J PHILOS,0022-362X,1939-8549,PHILOSOPHY - AHCI,"5,452",N/A,N/A,2.74,0%
NOUS,NOUS,0029-4624,1468-0068,PHILOSOPHY - AHCI,"4,590",N/A,N/A,5.25,12.92%
PHILOSOPHY AND PHENOMENOLOGICAL RESEARCH,PHILOS PHENOMEN RES,0031-8205,1933-1592,PHILOSOPHY - AHCI,"4,179",N/A,N/A,3.23,10.70%
MIND,MIND,0026-4423,1460-2113,PHILOSOPHY - AHCI,"4,102",N/A,N/A,5.4,9.30%
PHILOSOPHICAL REVIEW,PHILOS REV,0031-8108,1558-1470,PHILOSOPHY - AHCI,"4,056",N/A,N/A,5.65,0%
ETHICS,ETHICS,0014-1704,1539-297X,PHILOSOPHY - AHCI,"3,934",N/A,N/A,2.28,3.51%
ANALYSIS,ANALYSIS-UK,0003-2638,1467-8284,PHILOSOPHY - AHCI,"3,166",N/A,N/A,1.59,3.42%
Hypatia-A Journal of Feminist Philosophy,HYPATIA,0887-5367,1527-2001,PHILOSOPHY - AHCI,"2,581",N/A,N/A,1.19,12.10%
AUSTRALASIAN JOURNAL OF PHILOSOPHY,AUSTRALAS J PHILOS,0004-8402,1471-6828,PHILOSOPHY - AHCI,"2,355",N/A,N/A,2.19,11.79%
Philosophy Compass,PHILOS COMPASS,N/A,1747-9991,PHILOSOPHY - AHCI,"2,175",N/A,N/A,2.75,17.39%
ERKENNTNIS,ERKENNTNIS,0165-0106,1572-8420,PHILOSOPHY - AHCI,"2,137",N/A,N/A,1.6,34.47%
JOURNAL OF CONSCIOUSNESS STUDIES,J CONSCIOUSNESS STUD,1355-8250,N/A,PHILOSOPHY - AHCI,"2,131",N/A,N/A,1.44,0%
PHILOSOPHICAL QUARTERLY,PHILOS QUART,0031-8094,1467-9213,PHILOSOPHY - AHCI,"2,009",N/A,N/A,2.15,10.74%
Phenomenology and the Cognitive Sciences,PHENOMENOL COGN SCI,1568-7759,1572-8676,PHILOSOPHY - AHCI,"1,943",N/A,N/A,3.75,39.63%
Ethics and Information Technology,ETHICS INF TECHNOL,1388-1957,1572-8439,PHILOSOPHY - AHCI,"1,876",N/A,N/A,3.08,51.66%
JOURNAL OF PHILOSOPHICAL LOGIC,J PHILOS LOGIC,0022-3611,1573-0433,PHILOSOPHY - AHCI,"1,773",N/A,N/A,2.4,36.25%
INQUIRY-AN INTERDISCIPLINARY JOURNAL OF PHILOSOPHY,INQUIRY,0020-174X,1502-3923,PHILOSOPHY - AHCI,"1,690",N/A,N/A,1.17,14.45%
AMERICAN PHILOSOPHICAL QUARTERLY,AM PHILOS QUART,0003-0481,2152-1123,PHILOSOPHY - AHCI,"1,480",N/A,N/A,1.27,0%
Philosophical Perspectives,PHILOS PERSPECT,1520-8583,1758-2245,PHILOSOPHY - AHCI,"1,384",N/A,N/A,1.98,15.15%
MONIST,MONIST,0026-9662,2153-3601,PHILOSOPHY - AHCI,"1,378",N/A,N/A,1.6,10.64%
TOPOI-AN INTERNATIONAL REVIEW OF PHILOSOPHY,TOPOI-INT REV PHILOS,0167-7411,1572-8749,PHILOSOPHY - AHCI,"1,203",N/A,N/A,2.63,29.57%
JOURNAL OF THE HISTORY OF IDEAS,J HIST IDEAS,0022-5037,1086-3222,PHILOSOPHY - AHCI,"1,198",N/A,N/A,0.8,0%
CANADIAN JOURNAL OF PHILOSOPHY,CAN J PHILOS,0045-5091,1911-0820,PHILOSOPHY - AHCI,"1,187",N/A,N/A,1.85,16.11%
Studia Logica,STUD LOGICA,0039-3215,1572-8730,PHILOSOPHY - AHCI,"1,176",N/A,N/A,1,22.78%
JOURNAL OF AESTHETICS AND ART CRITICISM,J AESTHET ART CRITIC,0021-8529,1540-6245,PHILOSOPHY - AHCI,"1,124",N/A,N/A,2.48,10.64%
Social Epistemology,SOC EPISTEMOL,0269-1728,1464-5297,PHILOSOPHY - AHCI,"1,117",N/A,N/A,1.23,10.91%
Ethical Theory and Moral Practice,ETHICAL THEORY MORAL,1386-2820,1572-8447,PHILOSOPHY - AHCI,"1,072",N/A,N/A,1.77,39.90%
Philosophers Imprint,PHILOS IMPRINT,1533-628X,N/A,PHILOSOPHY - AHCI,"1,040",N/A,N/A,2.57,0%
PACIFIC PHILOSOPHICAL QUARTERLY,PAC PHILOS QUART,0279-0750,1468-0114,PHILOSOPHY - AHCI,"1,030",N/A,N/A,2.07,17.65%
PHILOSOPHY,PHILOSOPHY,0031-8191,1469-817X,PHILOSOPHY - AHCI,"1,027",N/A,N/A,0.95,0%
Journal of Applied Philosophy,J APPL PHILOS,0264-3758,1468-5930,PHILOSOPHY - AHCI,988,N/A,N/A,1.2,24.14%
EUROPEAN JOURNAL OF PHILOSOPHY,EUR J PHILOS,0966-8373,1468-0378,PHILOSOPHY - AHCI,973,N/A,N/A,1.19,23.79%
PHILOSOPHICAL INVESTIGATIONS,PHILOS INVEST,0190-0536,1467-9205,PHILOSOPHY - AHCI,940,N/A,N/A,0.61,8.43%
STUDIES IN PHILOSOPHY AND EDUCATION,STUD PHILOS EDUC,0039-3746,1573-191X,PHILOSOPHY - AHCI,863,N/A,N/A,1.54,28.03%
PHILOSOPHY & SOCIAL CRITICISM,PHILOS SOC CRIT,0191-4537,1461-734X,PHILOSOPHY - AHCI,858,N/A,N/A,0.88,6.32%
METAPHILOSOPHY,METAPHILOSOPHY,0026-1068,1467-9973,PHILOSOPHY - AHCI,854,N/A,N/A,1.06,12.31%
Episteme-A Journal of Individual and Social Epistemology,EPISTEME-J INDIV SOC,1742-3600,1750-0117,PHILOSOPHY - AHCI,854,N/A,N/A,2.91,17.52%
PHILOSOPHY OF THE SOCIAL SCIENCES,PHILOS SOC SCI,0048-3931,1552-7441,PHILOSOPHY - AHCI,827,N/A,N/A,0.77,15.58%
Notre Dame Journal of Formal Logic,NOTRE DAME J FORM L,0029-4527,1939-0726,PHILOSOPHY - AHCI,805,N/A,N/A,0.72,0%
VOPROSY FILOSOFII,VOP FILOS,0042-8744,0042-8744,PHILOSOPHY - AHCI,758,N/A,N/A,0.37,0%
