year,publications
2022,2527
2021,4780
2020,4485
2019,3707
2018,3138
2017,3214
2016,3052
2015,3243
2014,3080
2013,3074
2012,2845
2011,2700
2010,2716
2009,2600
2008,2282
2007,2042
2006,2141
2005,1957
2004,1792
2003,1904
2002,1915
2001,1908
2000,2093
1999,1722
1998,1709
1997,1676
1996,1702
1995,1716
1994,1794
1993,1752
1992,1722
1991,1598
1990,1612
1989,1661
1988,1697
1987,1798
1986,1824
1985,1852
1984,2065
1983,1926
1982,1934
1981,1842
1980,1865
1979,1746
1978,1523
1977,1349
1976,1621
1975,1608
1974,666
1973,546
1972,620
1971,604
1970,747
1969,812
1968,730
1967,733
1966,721
1965,747
1964,630
1963,573
1962,639
1961,629
1960,602
1959,682
1958,646
1957,621
1956,574
1955,84
1954,118
1953,111
1952,112
1951,116
1950,127
1949,99
1948,94
1947,93
1946,63
1945,67
1944,56
1943,96
1942,76
1941,96
1940,143
1939,133
1938,131
